sample_id,target_id,host_name,candidate_rank,label,label_source,matched_planet,negative_category,period_days,duration_hours,depth_fraction,depth_error_fraction,snr,power,duty_cycle,odd_even_mismatch,secondary_depth_fraction,secondary_to_primary_ratio,robust_scatter,transit_count,primary_point_count
10663396-r1,10663396,Kepler-1069,1,1,recovered_confirmed_planet,Kepler-1069 b,,23.98303001496872,8.0,0.00014265497718244754,7.509445270578254e-06,18.996739711435783,18.996739711435783,0.013898716430963366,0.41555796374638615,6.172394376613433e-06,0.04128716663882221,0.0001385425905300279,12.0,190.0
10858832-r1,10858832,Kepler-552,1,1,recovered_confirmed_planet,Kepler-552 b,,5.26471516216506,2.0,0.0007062217088163374,1.2791526302233911e-05,55.21012052275598,55.21012052275598,0.015828649939546465,0.14951657040461577,-4.114942639743546e-06,-0.005652505789432633,0.0003947738268782332,55.0,223.0
10873260-r1,10873260,Kepler-590,1,1,recovered_confirmed_planet,Kepler-590 b,,5.860564911975462,8.0,0.00042570134288807363,8.83201991314544e-06,48.19977163485177,48.19977163485177,0.056877338335115254,0.5847613485603633,7.062812677482988e-06,0.022613130884403053,0.00027025048245750855,49.0,760.0
10874614-r1,10874614,Kepler-6,1,1,recovered_confirmed_planet,Kepler-6 b,,3.23481813931516,4.0,0.007621192079218873,4.879599524495712e-06,1561.8478608665114,1561.8478608665114,0.05152273156906171,0.005506476531464142,1.781048735816082e-05,0.0019185609172910922,0.00013058801511964979,67.0,542.0
10875245-r1,10875245,Kepler-107,1,1,recovered_confirmed_planet,Kepler-107 c,,4.915454373451036,4.0,0.00012921059487313102,4.340563346270815e-06,29.7681624630918,29.7681624630918,0.03390666538720276,0.028639786456277173,-1.1756905885285107e-05,-0.10448398080120722,0.00011252352556947435,43.0,342.0
10875245-r3,10875245,Kepler-107,3,1,recovered_confirmed_planet,Kepler-107 b,,3.180889101323158,4.0,8.897798000316218e-05,3.4534154633491636e-06,25.765211555771014,25.765211555771014,0.052396251915019024,0.03223423662765155,-9.044207440744856e-06,-0.08057553680514709,0.0001122450783370657,70.0,552.0
10905239-r1,10905239,Kepler-101,1,1,recovered_confirmed_planet,Kepler-101 b,,3.4903679002729113,8.0,0.0005171486663425151,4.1994387425759165e-06,123.14709132423216,123.14709132423216,0.09550091648140302,0.007837846023689442,8.054790320954908e-06,0.034673761880987954,0.00016926404587372764,86.0,1372.0
10925104-r1,10925104,Kepler-114,1,1,recovered_confirmed_planet,Kepler-114 c,,8.004647933083985,8.0,0.00023904381027659838,6.042682729241735e-06,39.55921913950871,39.55921913950871,0.041642472738324235,0.054395968593335835,-4.27819240369498e-05,-0.1463320082025729,0.0002923620372770746,38.0,617.0
10925104-r4,10925104,Kepler-114,4,1,recovered_confirmed_planet,Kepler-114 d,,11.762439785536742,8.0,0.00025903641452942026,7.4183955484653204e-06,34.91811845797416,34.91811845797416,0.028338791901252033,0.2759639185258533,-1.6742350207987755e-05,-0.05780555232089599,0.0002896322158647657,25.0,403.0
10937029-r2,10937029,Kepler-553,2,1,recovered_confirmed_planet,Kepler-553 b,,4.034223329332655,8.0,0.0007893473723564306,1.1881750227459323e-05,66.4335941461056,66.4335941461056,0.08262639574504509,0.13372315015370725,1.542221824568646e-05,0.0344636931687239,0.0004474917464644287,73.0,1139.0
10975146-r1,10975146,Kepler-808,1,1,recovered_confirmed_planet,Kepler-808 b,,0.6312113813604467,2.0,0.0002081701725475636,4.736655715392565e-06,43.94876576549132,43.94876576549132,0.13202127812354303,0.025465686110233404,-2.8280347751152846e-05,-0.1097000749232638,0.0002577969775402178,460.0,1835.0
10982872-r2,10982872,Kepler-142,2,1,recovered_confirmed_planet,Kepler-142 c,,4.752212616008416,8.0,0.00013923578547901053,4.183540692857841e-06,33.28180498320824,33.28180498320824,0.07014276512175797,0.17253208991585012,1.0394295724247549e-05,0.06810091244078972,0.00015263078498815798,45.0,724.0
